sample,fastq_1,fastq_2,strandedness
osteoarthritis_tissue_10,fastq_files/osteoarthritis_tissue_10_1.fastq.gz,fastq_files/osteoarthritis_tissue_10_2.fastq.gz,auto
rheumatoid_arthritis_tissue_63,fastq_files/rheumatoid_arthritis_tissue_63_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_63_2.fastq.gz,auto
osteoarthritis_tissue_14,fastq_files/osteoarthritis_tissue_14_1.fastq.gz,fastq_files/osteoarthritis_tissue_14_2.fastq.gz,auto
rheumatoid_arthritis_tissue_65,fastq_files/rheumatoid_arthritis_tissue_65_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_65_2.fastq.gz,auto
osteoarthritis_tissue_18,fastq_files/osteoarthritis_tissue_18_1.fastq.gz,fastq_files/osteoarthritis_tissue_18_2.fastq.gz,auto
healthy_tissue_23,fastq_files/healthy_tissue_23_1.fastq.gz,fastq_files/healthy_tissue_23_2.fastq.gz,auto
rheumatoid_arthritis_tissue_67,fastq_files/rheumatoid_arthritis_tissue_67_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_67_2.fastq.gz,auto
osteoarthritis_tissue_19,fastq_files/osteoarthritis_tissue_19_1.fastq.gz,fastq_files/osteoarthritis_tissue_19_2.fastq.gz,auto
healthy_tissue_26,fastq_files/healthy_tissue_26_1.fastq.gz,fastq_files/healthy_tissue_26_2.fastq.gz,auto
rheumatoid_arthritis_tissue_71,fastq_files/rheumatoid_arthritis_tissue_71_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_71_2.fastq.gz,auto
osteoarthritis_tissue_22,fastq_files/osteoarthritis_tissue_22_1.fastq.gz,fastq_files/osteoarthritis_tissue_22_2.fastq.gz,auto
healthy_tissue_27,fastq_files/healthy_tissue_27_1.fastq.gz,fastq_files/healthy_tissue_27_2.fastq.gz,auto
rheumatoid_arthritis_tissue_74,fastq_files/rheumatoid_arthritis_tissue_74_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_74_2.fastq.gz,auto
arthralgia_tissue_4,fastq_files/arthralgia_tissue_4_1.fastq.gz,fastq_files/arthralgia_tissue_4_2.fastq.gz,auto
healthy_tissue_28,fastq_files/healthy_tissue_28_1.fastq.gz,fastq_files/healthy_tissue_28_2.fastq.gz,auto
rheumatoid_arthritis_tissue_75,fastq_files/rheumatoid_arthritis_tissue_75_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_75_2.fastq.gz,auto
arthralgia_tissue_6,fastq_files/arthralgia_tissue_6_1.fastq.gz,fastq_files/arthralgia_tissue_6_2.fastq.gz,auto
osteoarthritis_tissue_1,fastq_files/osteoarthritis_tissue_1_1.fastq.gz,fastq_files/osteoarthritis_tissue_1_2.fastq.gz,auto
rheumatoid_arthritis_tissue_76,fastq_files/rheumatoid_arthritis_tissue_76_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_76_2.fastq.gz,auto
undifferentiated_arthritis_tissue_1,fastq_files/undifferentiated_arthritis_tissue_1_1.fastq.gz,fastq_files/undifferentiated_arthritis_tissue_1_2.fastq.gz,auto
rheumatoid_arthritis_tissue_77,fastq_files/rheumatoid_arthritis_tissue_77_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_77_2.fastq.gz,auto
osteoarthritis_tissue_6,fastq_files/osteoarthritis_tissue_6_1.fastq.gz,fastq_files/osteoarthritis_tissue_6_2.fastq.gz,auto
rheumatoid_arthritis_tissue_2,fastq_files/rheumatoid_arthritis_tissue_2_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_2_2.fastq.gz,auto
rheumatoid_arthritis_tissue_89,fastq_files/rheumatoid_arthritis_tissue_89_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_89_2.fastq.gz,auto
osteoarthritis_tissue_9,fastq_files/osteoarthritis_tissue_9_1.fastq.gz,fastq_files/osteoarthritis_tissue_9_2.fastq.gz,auto
rheumatoid_arthritis_tissue_91,fastq_files/rheumatoid_arthritis_tissue_91_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_91_2.fastq.gz,auto
osteoarthritis_tissue_12,fastq_files/osteoarthritis_tissue_12_1.fastq.gz,fastq_files/osteoarthritis_tissue_12_2.fastq.gz,auto
rheumatoid_arthritis_tissue_3,fastq_files/rheumatoid_arthritis_tissue_3_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_3_2.fastq.gz,auto
rheumatoid_arthritis_tissue_94,fastq_files/rheumatoid_arthritis_tissue_94_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_94_2.fastq.gz,auto
osteoarthritis_tissue_16,fastq_files/osteoarthritis_tissue_16_1.fastq.gz,fastq_files/osteoarthritis_tissue_16_2.fastq.gz,auto
osteoarthritis_tissue_17,fastq_files/osteoarthritis_tissue_17_1.fastq.gz,fastq_files/osteoarthritis_tissue_17_2.fastq.gz,auto
rheumatoid_arthritis_tissue_100,fastq_files/rheumatoid_arthritis_tissue_100_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_100_2.fastq.gz,auto
rheumatoid_arthritis_tissue_7,fastq_files/rheumatoid_arthritis_tissue_7_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_7_2.fastq.gz,auto
rheumatoid_arthritis_tissue_112,fastq_files/rheumatoid_arthritis_tissue_112_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_112_2.fastq.gz,auto
osteoarthritis_tissue_21,fastq_files/osteoarthritis_tissue_21_1.fastq.gz,fastq_files/osteoarthritis_tissue_21_2.fastq.gz,auto
rheumatoid_arthritis_tissue_114,fastq_files/rheumatoid_arthritis_tissue_114_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_114_2.fastq.gz,auto
arthralgia_tissue_7,fastq_files/arthralgia_tissue_7_1.fastq.gz,fastq_files/arthralgia_tissue_7_2.fastq.gz,auto
rheumatoid_arthritis_tissue_8,fastq_files/rheumatoid_arthritis_tissue_8_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_8_2.fastq.gz,auto
undifferentiated_arthritis_tissue_3,fastq_files/undifferentiated_arthritis_tissue_3_1.fastq.gz,fastq_files/undifferentiated_arthritis_tissue_3_2.fastq.gz,auto
rheumatoid_arthritis_tissue_115,fastq_files/rheumatoid_arthritis_tissue_115_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_115_2.fastq.gz,auto
rheumatoid_arthritis_tissue_10,fastq_files/rheumatoid_arthritis_tissue_10_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_10_2.fastq.gz,auto
undifferentiated_arthritis_tissue_4,fastq_files/undifferentiated_arthritis_tissue_4_1.fastq.gz,fastq_files/undifferentiated_arthritis_tissue_4_2.fastq.gz,auto
rheumatoid_arthritis_tissue_116,fastq_files/rheumatoid_arthritis_tissue_116_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_116_2.fastq.gz,auto
undifferentiated_arthritis_tissue_5,fastq_files/undifferentiated_arthritis_tissue_5_1.fastq.gz,fastq_files/undifferentiated_arthritis_tissue_5_2.fastq.gz,auto
rheumatoid_arthritis_tissue_12,fastq_files/rheumatoid_arthritis_tissue_12_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_12_2.fastq.gz,auto
undifferentiated_arthritis_tissue_6,fastq_files/undifferentiated_arthritis_tissue_6_1.fastq.gz,fastq_files/undifferentiated_arthritis_tissue_6_2.fastq.gz,auto
rheumatoid_arthritis_tissue_120,fastq_files/rheumatoid_arthritis_tissue_120_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_120_2.fastq.gz,auto
rheumatoid_arthritis_tissue_14,fastq_files/rheumatoid_arthritis_tissue_14_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_14_2.fastq.gz,auto
rheumatoid_arthritis_tissue_6,fastq_files/rheumatoid_arthritis_tissue_6_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_6_2.fastq.gz,auto
rheumatoid_arthritis_tissue_121,fastq_files/rheumatoid_arthritis_tissue_121_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_121_2.fastq.gz,auto
rheumatoid_arthritis_tissue_9,fastq_files/rheumatoid_arthritis_tissue_9_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_9_2.fastq.gz,auto
rheumatoid_arthritis_tissue_15,fastq_files/rheumatoid_arthritis_tissue_15_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_15_2.fastq.gz,auto
rheumatoid_arthritis_tissue_125,fastq_files/rheumatoid_arthritis_tissue_125_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_125_2.fastq.gz,auto
rheumatoid_arthritis_tissue_11,fastq_files/rheumatoid_arthritis_tissue_11_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_11_2.fastq.gz,auto
rheumatoid_arthritis_tissue_20,fastq_files/rheumatoid_arthritis_tissue_20_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_20_2.fastq.gz,auto
rheumatoid_arthritis_tissue_130,fastq_files/rheumatoid_arthritis_tissue_130_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_130_2.fastq.gz,auto
rheumatoid_arthritis_tissue_13,fastq_files/rheumatoid_arthritis_tissue_13_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_13_2.fastq.gz,auto
